ID,family,genus,species,sex,count,year,month,day,city,township,site,country,lat,long,collector,time,COI
Ar12347,Sparassidae,Heteropoda,simplex,f,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar12348,Sparassidae,Heteropoda,venatoria,m,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar12349,Sparassidae,Heteropoda,venatoria,m,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar12350,Sparassidae,Heteropoda,venatoria,m,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar12351,Sparassidae,Heteropoda,venatoria,f,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar12352,Oxyopidae,Hamadruas,hieroglyphica,f,1,2025,10,3,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,陳顧淋,day,
Ar12904,Sparassidae,Bhutaniella,latissima,f,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,羅英元,night,
Ar12905,Araneidae,Neoscona,punctigera,f,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,
Ar12906,Tetragnathidae,Leucauge,tessellata,f,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,
Ar12907,Tetragnathidae,Leucauge,tessellata,f,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,
Ar12908,Pholcidae,Pholcus,,m,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,羅英元,night,
Ar12909,Theridiidae,Phycosoma,mustelinum,m,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,羅英元,night,
Ar12910,Theridiidae,Platnickina,maculata,f,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar12911,Lycosidae,Lycosa,coelestis,f,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,羅英元,night,v
Ar12912,Salticidae,Telamonia,vlijmi,f,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar12913,Salticidae,Pancorius,,j,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,羅英元,night,v
Ar12914,Salticidae,Portia,,j,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,羅英元,night,v
Ar12915,Thomisidae,Mastira,tegularis,f,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar12916,Cheiracanthiidae,Cheiracanthium,taiwanicum,m,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,
Ar12917,Cheiracanthiidae,Cheiracanthium,taiwanicum,f,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,
Ar12918,Cheiracanthiidae,Cheiracanthium,antungense,m,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar12919,Nephilidae,Nephila,pilipes,m,1,2025,9,30,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,
Ar12920,Agelenidae,Agelena,tungchis,j,1,2025,10,1,花蓮縣,秀林鄉,砂卡噹步道,Taiwan,24.16238,121.613314,管珮均,day,v
Ar12921,Salticidae,Hasarius,adansoni,j,1,2025,10,1,花蓮縣,秀林鄉,砂卡噹步道,Taiwan,24.16238,121.613314,管珮均,day,v
Ar12922,Theridiidae,Parasteatoda,kentingensis,m,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,
Ar12923,Theridiidae,Parasteatoda,kentingensis,m,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar12924,Theridiidae,Asiopisinus,yoshidai,f,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar12925,Uloboridae,Uloborus,formosanus,m,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar12926,Uloboridae,Uloborus,formosanus,m,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar12927,Lycosidae,Venonia,spirocysta,f,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar12928,Phrurolithidae,Grandilithus,lynx,m,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,v
Ar12929,Clubionidae,Bucliona,jucunda,f,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,night,
Ar12930,Salticidae,Portia,,f,1,2025,10,2,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,day,v
Ar12931,Salticidae,Rhene,atrata,f,1,2025,10,2,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,day,v
Ar12932,Salticidae,Rhene,atrata,f,1,2025,10,2,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,day,v
Ar12933,Theridiidae,Rhomphaea,sagana,m,1,2025,10,2,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,day,v
Ar12934,Uloboridae,Uloborus,formosanus,f,1,2025,10,2,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,day,v
Ar12935,Nephilidae,Nephila,pilipes,m,1,2025,10,2,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,day,
Ar12936,Theridiidae,Platnickina,maculata,f,1,2025,10,2,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,day,
Ar12937,Cheiracanthiidae,Cheiracanthium,taiwanicum,f,1,2025,10,2,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,管珮均,day,
Ar12938,Cheiracanthiidae,Cheiracanthium,antungense,f,1,2025,10,2,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,
Ar12939,Salticidae,Myrmarachne,japonica,m,1,2025,10,2,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar12940,Salticidae,Phintella,linea,m,1,2025,10,2,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar12941,Salticidae,Rhene,atrata,f,1,2025,10,2,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar12942,Theridiidae,Dipoena,,m,1,2025,10,2,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,day,v
Ar12943,Salticidae,Rhene,atrata,m,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,v
Ar12944,Salticidae,Phintelloides,versicolor,f,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,
Ar12945,Salticidae,,,f,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,v
Ar12946,Thomisidae,Alcimochthes,cf. meridionalis,f,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,v
Ar12947,Clubionidae,Bucliona,jucunda,m,2,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,
Ar12948,Araneidae,Neoscona,punctigera,m,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,
Ar12949,Araneidae,Neoscona,punctigera,f,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,
Ar12950,Hersiliidae,Hersilia,,f,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,v
Ar12951,Cheiracanthiidae,Cheiracanthium,antungense,m,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,
Ar12952,Theridiidae,Phycosoma,mustelinum,f,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,v
Ar12953,Theridiidae,Campanicola,ferrumequina,f,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,v
Ar12954,Theridiidae,Campanicola,ferrumequina,f,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,v
Ar12955,Pholcidae,Uthina,luzonica,f,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,v
Ar12956,Pholcidae,Uthina,luzonica,f,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,v
Ar12957,Pholcidae,Uthina,luzonica,m,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,v
Ar12958,Scytodidae,Dictis,striatipes,j,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,v
Ar12959,Thomisidae,Xysticus,,j,1,2025,10,1,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,
Ar12962,Salticidae,Yaginumaella,,f,1,2025,10,2,花蓮縣,秀林鄉,布洛灣,Taiwan,,,黃文俊,day,v
Ar12963,Salticidae,Myrmarachne,japonica,m,1,2025,10,2,花蓮縣,秀林鄉,布洛灣,Taiwan,,,黃文俊,day,v
Ar12964,Salticidae,Myrmarachne,,m,1,2025,10,2,花蓮縣,秀林鄉,布洛灣,Taiwan,,,黃文俊,day,v
Ar12965,Cheiracanthiidae,Cheiracanthium,taiwanicum,m,1,2025,10,28,花蓮縣,秀林鄉,臺地步道,Taiwan,24.159407,121.621845,黃文俊,night,
