id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,quality_grade,license,url,image_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_country_name,species_guess,scientific_name,common_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
317683829,df26c307-0b78-48dd-9f3d-1c8476c4ecad,2025/09/30 08:52,2025-09-30,2025-09-30 00:52:00 UTC,Taipei,8362598,greenechen,GreeneChen,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/317683829,https://inaturalist-open-data.s3.amazonaws.com/photos/574076508/medium.jpg,"",,0,0,false,,972台灣花蓮縣秀林鄉富世291號,24.1583106,121.6212098,63,,,,63,,,false,,,,Hualien,Taiwan,Physocyclus globosus,Physocyclus globosus,球腹環蛛,298638,Pholcidae,Physocyclus,Physocyclus globosus
317683835,9d906517-29e5-4cb3-8f09-9799e9818c7b,2025/09/30 08:55,2025-09-30,2025-09-30 00:55:00 UTC,Taipei,8362598,greenechen,GreeneChen,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/317683835,https://inaturalist-open-data.s3.amazonaws.com/photos/574076571/medium.jpg,"",,0,0,false,,972台灣花蓮縣秀林鄉富世291號,24.1583106,121.6212098,63,,,,63,,,false,,,,Hualien,Taiwan,Nungia epigynalis,Nungia epigynalis,上位蝶蛛,778785,Salticidae,Nungia,Nungia epigynalis
317683844,23fe4af4-1f15-485d-bc21-e63f57243df0,2025/09/30 09:00,2025-09-30,2025-09-30 01:00:00 UTC,Taipei,8362598,greenechen,GreeneChen,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/317683844,https://inaturalist-open-data.s3.amazonaws.com/photos/574076675/medium.jpg,"",,0,0,false,,972台灣花蓮縣秀林鄉富世291號,24.1583106,121.6212098,63,,,,63,,,false,,,,Hualien,Taiwan,Cyrtophora exanthematica,Cyrtophora exanthematica,"方格雲斑蛛,方格網蜘蛛",360483,Araneidae,Cyrtophora,Cyrtophora exanthematica
317683858,5bd06e63-d3c5-4865-aab8-b21c28b9c86a,2025/09/30 09:03,2025-09-30,2025-09-30 01:03:00 UTC,Taipei,8362598,greenechen,GreeneChen,research,CC-BY-NC,https://www.inaturalist.org/observations/317683858,https://inaturalist-open-data.s3.amazonaws.com/photos/574076881/medium.jpg,"",,1,0,false,,972台灣花蓮縣秀林鄉富世291號,24.1583106,121.6212098,63,,,,63,,,false,,,,Hualien,Taiwan,肩斑銀腹蛛,Leucauge blanda,肩斑銀腹蛛,360597,Tetragnathidae,Leucauge,Leucauge blanda
317683883,c380b4f5-605b-4223-bcf5-f9a9d75dc549,2025/09/30 09:09,2025-09-30,2025-09-30 01:09:00 UTC,Taipei,8362598,greenechen,GreeneChen,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/317683883,https://inaturalist-open-data.s3.amazonaws.com/photos/574077102/medium.jpg,"",,0,0,false,,972台灣花蓮縣秀林鄉富世291號,24.1583106,121.6212098,63,,,,63,,,false,,,,Hualien,Taiwan,Epeus glorius,Epeus glorius,榮艾普蛛,544576,Salticidae,Epeus,Epeus glorius
317683884,830cd612-224f-45bc-902d-7527a864e1eb,2025/09/30 09:10,2025-09-30,2025-09-30 01:10:00 UTC,Taipei,8362598,greenechen,GreeneChen,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/317683884,https://inaturalist-open-data.s3.amazonaws.com/photos/574077125/medium.jpg,"",,0,0,false,,972台灣花蓮縣秀林鄉富世291號,24.1583106,121.6212098,63,,,,63,,,false,,,,Hualien,Taiwan,Siler cupreus,Siler cupreus,藍翠蛛,358360,Salticidae,Siler,Siler cupreus
317683891,278fc3e3-5b76-453d-b7da-57319119d058,2025/09/30 09:13,2025-09-30,2025-09-30 01:13:00 UTC,Taipei,8362598,greenechen,GreeneChen,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/317683891,https://inaturalist-open-data.s3.amazonaws.com/photos/574077183/medium.jpg,"",,0,0,false,,972台灣花蓮縣秀林鄉富世291號,24.1583106,121.6212098,63,,,,63,,,false,,,,Hualien,Taiwan,Ptocasius strupifer,Ptocasius strupifer,毛垛兜跳蛛,450532,Salticidae,Ptocasius,Ptocasius strupifer
317683902,213f3f4f-5bbc-4926-a95f-d54564d02178,2025/09/30 09:17,2025-09-30,2025-09-30 01:17:00 UTC,Taipei,8362598,greenechen,GreeneChen,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/317683902,https://inaturalist-open-data.s3.amazonaws.com/photos/574077285/medium.jpg,"",,0,0,false,,972台灣花蓮縣秀林鄉富世291號,24.1583106,121.6212098,63,,,,63,,,false,,,,Hualien,Taiwan,Carrhotus xanthogramma,Carrhotus xanthogramma,橙黃蠅虎,343255,Salticidae,Carrhotus,Carrhotus xanthogramma
317683909,dbf9bb73-b61b-4033-aab9-b72490536ad0,2025/09/30 09:19,2025-09-30,2025-09-30 01:19:00 UTC,Taipei,8362598,greenechen,GreeneChen,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/317683909,https://inaturalist-open-data.s3.amazonaws.com/photos/574077324/medium.jpg,"",,0,0,false,,972台灣花蓮縣秀林鄉富世291號,24.1583106,121.6212098,63,,,,63,,,false,,,,Hualien,Taiwan,Telamonia vlijmi,Telamonia vlijmi,弗氏紐蛛,360576,Salticidae,Telamonia,Telamonia vlijmi
317683916,bcaf875d-4f14-45a5-86ed-2dffc66983e9,2025/09/30 09:21,2025-09-30,2025-09-30 01:21:00 UTC,Taipei,8362598,greenechen,GreeneChen,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/317683916,https://inaturalist-open-data.s3.amazonaws.com/photos/574077387/medium.jpg,"",,0,0,false,,972台灣花蓮縣秀林鄉富世291號,24.1583106,121.6212098,63,,,,63,,,false,,,,Hualien,Taiwan,Ptocasius strupifer,Ptocasius strupifer,毛垛兜跳蛛,450532,Salticidae,Ptocasius,Ptocasius strupifer
