id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_country_name,species_guess,scientific_name,common_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
29769098,daea17f9-8086-487c-83dc-e5b10ecd4de4,Mon Jul 29 2019 13:51:42 GMT+0800 (GMT+8),2019-07-29,2019-07-29 05:51:42 +0000,Australia/Perth,2060781,nancy435,Nancy Chue,needs_id,,https://www.inaturalist.org/observations/29769098,https://static.inaturalist.org/photos/46477415/medium.jpg,,"",,0,0,false,3,"972, 秀林鄉, , TW",24.1587938486,121.6224783744,16,,,,16,,,false,,,,Hualien,Taiwan,,Myrmarachne,蟻蛛屬,51780,Salticidae,Myrmarachne,
34906310,6299b600-0c68-4cf4-a346-05d325517029,2019/10/25 2:12 PM CST,2019-10-25,2019-10-25 06:12:00 +0000,Chongqing,1428736,oscaryin,尹若宇,research,CC-BY-SA,https://www.inaturalist.org/observations/34906310,https://inaturalist-open-data.s3.amazonaws.com/photos/54997169/medium.jpg,,"",,1,0,false,,台灣花蓮縣,24.1577642532,121.6243988648,61,,,,61,,,false,,,,Hualien,Taiwan,Hamadruas hieroglyphica,Hamadruas hieroglyphica,象形文樹貓蛛,555822,Oxyopidae,Hamadruas,Hamadruas hieroglyphica
36604012,0729fabb-df73-4236-84c6-0dc6199fa018,2019/10/29 3:37 PM EDT,2019-10-29,2019-10-29 19:37:00 +0000,Eastern Time (US & Canada),2312335,jqod,Andrew Cleasby,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/36604012,https://inaturalist-open-data.s3.amazonaws.com/photos/57882799/medium.jpg,,"",,1,0,false,,"Hualien County, Taiwan",24.1574528056,121.6220340556,,,,,,,,false,,,,Hualien,Taiwan,Leucauge tessellata,Leucauge tessellata,方格銀腹蛛,508569,Tetragnathidae,Leucauge,Leucauge tessellata
64764655,2267aaad-fb2b-411c-a0ca-f5c1e8125d47,2020-11-13 9:30:25 AM GMT+08:00,2020-11-13,2020-11-13 01:30:25 +0000,Australia/Perth,1381444,naturalist3857,顧建業,needs_id,,https://www.inaturalist.org/observations/64764655,https://static.inaturalist.org/photos/104178567/medium.jpeg,,"",,1,0,false,2,972台灣花蓮縣秀林鄉太魯閣國家公園管理處,24.15951943,121.62103343,5,,,,5,,,false,,,,Hualien,Taiwan,象形文樹貓蛛,Hamadruas hieroglyphica,象形文樹貓蛛,555822,Oxyopidae,Hamadruas,Hamadruas hieroglyphica
64769793,f255696f-451f-4a5f-be61-b7af5ff451ea,2020-11-13 11:06:52 AM GMT+08:00,2020-11-13,2020-11-13 03:06:52 +0000,Perth,1381444,naturalist3857,顧建業,research,,https://www.inaturalist.org/observations/64769793,https://static.inaturalist.org/photos/104187836/medium.jpeg,,"",,2,0,false,2,972台灣花蓮縣秀林鄉291,24.1581193,121.6218681,39,,,,39,,open,false,,,,Hualien,Taiwan,人面蜘蛛,Nephila pilipes,人面蜘蛛,68390,Nephilidae,Nephila,Nephila pilipes
72362915,2c67aba5-75c2-4192-8758-f93cf62a6ca6,Mon Mar 29 2021 16:59:34 GMT+0800 (GMT+8),2021-03-29,2021-03-29 08:59:34 +0000,Australia/Perth,2624418,woowei,吳宜軒,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/72362915,https://inaturalist-open-data.s3.amazonaws.com/photos/117969620/medium.jpg,,"","",0,0,false,3,"秀林鄉, TW",24.1588721667,121.6225283333,4,,,,4,,,false,,,,Hualien,Taiwan,"",Ptocasius strupifer,毛垛兜跳蛛,450532,Salticidae,Ptocasius,Ptocasius strupifer
80451718,49ad4d29-bedb-42c7-9f44-b9d4071959b6,2021-05-27 13:16:55,2021-05-27,2021-05-27 05:16:55 +0000,Taipei,2627789,tsou,"",research,CC-BY-NC,https://www.inaturalist.org/observations/80451718,https://inaturalist-open-data.s3.amazonaws.com/photos/131864108/medium.jpeg,,"",,1,0,false,2,972台灣花蓮縣秀林鄉291,24.1581195833,121.6218565556,,,,,,,,false,gps,gps,,Hualien,Taiwan,白額高腳蛛,Heteropoda venatoria,白額高腳蛛,48765,Sparassidae,Heteropoda,Heteropoda venatoria
102922200,dabe1fbd-9b17-4239-87be-d1b84fcec58f,2021-12-10 11:57:38 AM GMT+08:00,2021-12-10,2021-12-10 03:57:38 +0000,Taipei,2128247,langzi,Langzi,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/102922200,https://inaturalist-open-data.s3.amazonaws.com/photos/172149954/medium.jpeg,,"",,0,0,false,2,"972, Taiwan, Hualien County, Xiulin Township, 291",24.1580600736,121.6229858397,,,,,,,,false,gps,gps,,Hualien,Taiwan,Orbweavers,Araneidae,金蛛科,47535,Araneidae,,
102922444,a6496ae6-e71c-4fd7-b1ff-86c4205eb36d,2021-12-10 11:52:33 AM GMT+08:00,2021-12-10,2021-12-10 03:52:33 +0000,Taipei,2128247,langzi,Langzi,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/102922444,https://inaturalist-open-data.s3.amazonaws.com/photos/172150324/medium.jpeg,,"",,0,0,false,2,"972, Taiwan, Hualien County, Xiulin Township, 291",24.1581306456,121.6229324339,,,,,,,,false,gps,gps,,Hualien,Taiwan,Typical Orbweavers,Araneinae,園蛛亞科,417879,Araneidae,,
107019386,7f2e34b2-2da9-4258-afdb-02312191212f,2022-02-19 13:24:41,2022-02-19,2022-02-19 05:24:41 +0000,Taipei,1680509,smile_taiwan,Smile Taiwan,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/107019386,https://inaturalist-open-data.s3.amazonaws.com/photos/181616888/medium.jpeg,,"",,0,0,false,2,972台灣花蓮縣秀林鄉富世村,24.1576829722,121.623365,,,,,,,,false,gps,gps,,Hualien,Taiwan,豹蛛屬,Pardosa,豹蛛屬,47415,Lycosidae,Pardosa,
